Sample,var001,var002,var003,var004,var005,var006,var007,var008,var009,var010,var011,var012,var013,var014,var015,var016,var017,var018,var019,var020,var021,var022,var023,var024,var025,var026,var027,var028,var029,var030,var031,var032,var033,var034,var035,var036,var037,var038,var039,var040,var041,var042,var043,var044,var045,var046,var047,var048,var049,var050,var051,var052,var053,var054,var055,var056,var057,var058,var059,var060,var061,var062,var063,var064,var065,var066,var067,var068,var069,var070,var071,var072,var073,var074,var075,var076,var077,var078,var079,var080,var081,var082,var083,var084,var085,var086,var087,var088,var089,var090,var091,var092,var093,var094,var095,var096,var097,var098,var099,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,var127,var128,var129,var130,var131,var132,var133,var134,var135,var136,var137,var138,var139,var140,var141,var142,var143,var144,var145,var146,var147,var148,var149,var150,var151,var152,var153,var154,var155,var156,var157,var158,var159,var160,var161,var162,var163,var164,var165,var166,var167,var168,var169,var170,var171,var172,var173,var174,var175,var176,var177,var178,var179,var180,var181,var182,var183,var184,var185,var186,var187,var188,var189,var190,var191
s01,1.982539165,2.635160461,1.6864654,1.364554886,2.69486328,1.705076915,2.227857338,3.539003503,2.925757253,2.417165669,2.009292454,1.405456896,1.833996183,-0.183112478,1.72583041,-0.014552318,-0.576084893,0.917864369,-1.125691934,-1.614831121,-1.17618474,0.606253785,-1.419405103,-0.85305213,-2.131039374,-1.275215965,0.083775719,-0.310262252,-0.728097777,-0.293117844,-0.234079419,-0.379760189,-0.238512869,-0.765317737,-0.191947198,-0.776396031,-0.607872086,-0.206271368,0.09713424,-0.439465962,-0.607136158,-0.433064465,-0.447476822,98346.4978,39317.16984,18062.44655,744031.8044,1573837.139,42834.25628,1347.431004,60592.64831,579819.4826,153941.9966,1987041.843,17286.28561,83892.55509,1329094.601,258576.0721,1585336.987,5715.361554,16200.63005,415433.1366,206833.5271,55050.12833,0.042608798,19.03816538,0.400666286,12.22857104,1.885501594,3.731053194,0.130478403,0.03439459,0.054072906,0.034106968,0.352676468,6.822338026,0.035459017,0.002606714,0.062357321,0.047867522,5.984235152,0.006395623,0.03655968,2.917946886,5.628081458,50.11694653,3.915326902,36.99464094,25.31392164,134.6111707,1.556031916,460.5410266,126.1764916,341.367274,4.349053233,158.9319995,30.43217816,180.0177444,17.28552848,0.142027226,57.74603312,11.16465794,1.551114194,26.14011966,0.125206091,0.282193264,0.033221455,0.449362702,0.168034569,1.104714733,0.659433091,0.088096079,0.026864333,0.097044063,0.251173135,0.00919484,0.162796228,3.973932855,0.071348335,0.842614233,28.44420359,1.563426689,94.28917298,581.1263838,0.073840409,2.046343387,5.046029549,0.712637203,0.131312969,3.129108057,6.976494351,2.828700872,0.458460746,0.045530627,0.385658416,0.919416101,1.062831944,0.248648083,0.0851,0.1003,0.0840,0.6491,1.0639,1.0682,3.2783,8.0093,8.1527,2.4598,0.4999,3.9788,20.4028,38.3771,38.2188,9.4388,2.4976,5.2500,10.8122,17.3634,9.2307,3.3160,0.1108,0.7752,1.3124,3.9067,8.0119,13.3748,7.3316,0.0777,0.2448,0.5251,1.3736,2.2333,1.9641,0.060530535,0.037639337,0.015074273,1.658379421,1.332705096,1.539649354,2.232956047,0.581985025,4.28281684,1.341383702,1.226773227,3.178395488,0.684779138,0.071303267,0.11793018,0.056685582,0.267804361,1.407304036
s02,0.468407752,0.177159003,0.391552845,0.116888007,-2.142971952,0.130908668,-0.889045321,-0.915662562,-0.077574307,-1.302249777,-0.656917354,-0.762171477,-1.05726227,-0.036583759,-2.068132577,-0.646175374,-0.255571072,0.610019562,-0.825186252,-0.707740661,-1.066030561,0.134297931,-2.23762009,-1.792451636,-2.608420896,-1.235375425,1.446916434,0.964332554,-0.301041252,0.195841794,0.292065198,0.057384382,0.245178575,-0.107389981,-0.125782852,-0.360527284,0.071530669,-0.094036321,-0.005817456,-0.360227307,-0.468218027,-0.451739176,-0.465970258,94621.20443,42234.05849,15885.07802,682720.6859,1693038.746,46062.26542,1011.286236,56636.96717,530321.5646,162547.8256,1863583.261,22643.00231,65664.58463,1175620.11,240379.5258,1639060.739,4299.47841,13659.77114,355793.7672,204762.1322,49187.94828,0.053075794,21.95750186,0.470348338,14.74699171,2.226157495,3.661095408,0.154075668,0.046121682,0.075161606,0.040974654,0.237304701,5.552599999,0.038654273,0.004968898,0.071137268,0.040226975,5.028083646,0.005925176,0.044286471,5.540900022,10.4497894,106.0321436,7.17091554,79.64132121,42.62203503,262.4958989,2.389492352,957.221902,231.9558856,730.8284194,7.293283086,317.7060519,64.89270672,329.3059189,21.28519244,0.167498218,70.83267997,15.29989309,1.40992516,21.79240912,0.099778743,0.249715226,0.021633455,0.369425811,0.142750332,0.948986767,0.660893839,0.064823018,0.034261955,0.073117796,0.199433264,0.010383121,0.1530397,4.090340182,0.072227144,0.924782142,19.35753742,1.143264433,207.0520121,1081.826858,0.047919487,1.101793657,4.297782505,0.832487269,0.104259331,1.867433765,6.051424612,3.088723973,0.387054406,0.069997744,0.210992393,0.639407271,1.340770644,0.18494972,0.1289,0.1032,0.1008,0.5202,1.2060,0.9134,3.8942,6.7154,6.8197,2.1439,0.5235,4.8562,26.1158,37.8848,24.4825,9.0570,2.4896,7.3926,10.7480,13.5039,10.2969,3.2538,0.1048,0.6429,1.1236,2.7760,5.8819,9.4887,6.6313,0.0628,0.1922,0.2904,0.8315,1.7466,1.7828,0.036805486,0.028571121,0.008848509,1.018623619,0.664400443,0.861163262,1.872589556,0.469313049,3.157964062,0.755102371,0.834054772,2.90885632,0.573520737,0.057834499,0.106332946,0.054243917,0.200145994,0.96555681
s03,1.165658634,1.315746507,1.011332738,0.510513889,1.129151933,0.631855944,-1.017871543,-0.188669989,-0.232411766,-1.170394281,-0.59545889,-0.560230136,-0.605622159,-1.040005441,-1.415819926,0.018872221,-0.063261988,1.37587068,-0.390379495,-0.228069061,-0.764276005,0.899725921,-0.562417651,0.600117939,-0.627603855,-0.889004048,1.106883509,0.656233623,-0.045855916,0.231224301,0.198192049,-0.411410054,-0.544754199,-0.035856161,-0.09123207,-1.75448485,-1.100057281,-0.541528808,-0.178575866,-0.395240239,-0.313100035,-0.771728798,-0.507321664,129106.3682,64527.6291,28175.71526,1028043.96,2358210.302,81443.41262,2057.121298,93051.33341,893148.7809,276112.6994,2186743.546,32594.26443,66495.39986,1279881.555,270509.2078,1881305.341,6109.149451,17755.16372,407954.591,248567.8062,67397.65637,0.089195636,24.81008917,0.849872465,14.30820511,2.861016862,5.19361643,0.260177538,0.060091472,0.104761012,0.05044219,0.179753977,5.701683245,0.046008338,0.003380099,0.086387468,0.037217873,5.529590581,0.005491282,0.036756282,3.248420404,8.125134844,87.88842657,5.011558021,79.38295577,35.80721221,204.791031,1.979041455,475.1892433,127.6107258,501.2254585,6.563569117,217.5997843,45.96409308,232.1342272,30.60557185,0.843387795,87.28892613,21.46906857,2.964949029,37.83151794,0.08783293,0.241605382,0.019497178,0.385654991,0.137149646,0.819352264,0.573995303,0.062623788,0.031220863,0.058800488,0.1739942,0.013244546,0.149967541,2.92826392,0.076949672,0.976572859,18.90455244,0.969278034,169.5357923,931.1534259,0.071788067,1.479134115,4.998971428,1.186061667,0.171237663,2.817416635,8.780921946,5.66245554,0.933417608,0.281593266,0.365048955,0.970273475,1.182630476,0.335393095,0.0811,0.1415,0.0900,0.5143,0.9615,0.6349,3.1147,4.9231,5.2314,1.8898,0.5258,3.5426,13.7424,20.4540,23.4816,7.9094,3.2615,9.2848,12.8902,20.5579,7.6275,2.1678,0.2083,1.1350,1.6233,3.2250,8.6142,13.9663,8.4037,0.1277,0.2905,0.4589,2.2499,4.4995,5.0909,0.047961469,0.024328469,0.017205094,0.835220358,0.794561322,0.874784288,2.020080394,0.495836264,2.655804708,0.819432154,0.948955627,3.911989329,0.626086347,0.052017511,0.097441034,0.045291176,0.239721708,1.223715522
s04,1.515070767,1.321509835,1.239064356,1.325143393,0.655912828,1.063431935,0.007048917,0.965373427,1.074597187,0.008921119,1.390340568,0.798068798,0.457796126,-0.303598715,-0.547632215,-1.304753382,-1.147590978,0.621640192,-1.559471182,-1.99806574,-1.225992333,-0.208166634,-2.176099767,-0.938416916,-2.515034044,-1.433223123,0.683053044,0.342823366,-3.255679653,-2.054372042,0.097677508,0.840142871,-0.291275077,0.823416949,0.644975476,0.166737589,-0.612080642,0.244893798,0.289734527,0.529206911,-0.241775072,0.374179098,0.548377929,126463.8566,38090.33513,27661.44862,748369.0914,1712944.506,36472.81279,1823.803584,73992.56359,600379.7346,164873.9103,2225468.19,24613.06247,102957.0856,1605487.022,306988.3078,1851566.544,7144.334339,18058.17246,475656.545,233876.8252,64884.8478,0.045825938,21.83422142,0.413442463,15.95597703,2.164484144,2.781185617,0.103042534,0.050046933,0.094049804,0.042780792,0.254431542,5.4781061,0.036300559,0.002184868,0.078972811,0.031629324,5.611537789,0.004578775,0.03523325,2.161521363,4.741788096,46.10434675,3.636206471,43.17140035,18.18325512,100.2173376,1.507038775,417.7207953,110.2211657,318.3072364,4.547913065,180.4833292,29.5427266,140.7017782,21.37705689,0.207804419,54.63604003,13.947478,1.170327087,24.93122439,0.074432226,0.181824395,0.021239646,0.253476794,0.110957905,0.80528348,0.607065544,0.055731207,0.021026586,0.063047599,0.178825478,0.00886007,0.111422214,2.656023059,0.056716106,0.720939955,15.6764054,0.918328968,132.5521219,798.7034898,0.349547473,7.65439003,12.17497346,5.02709458,0.706285166,12.71048517,30.82776567,16.1750077,2.742715621,0.261027859,0.601981305,5.645693286,7.805955329,1.356429542,0.1383,0.1379,0.1149,0.6091,1.1175,0.9547,5.6306,8.6296,8.0014,3.7510,0.7536,6.5411,37.1413,48.0333,37.0089,14.9277,4.5183,12.4341,18.1546,25.0303,15.0833,6.0795,0.3114,1.5092,2.5812,6.5992,14.1538,19.6944,11.2750,0.1798,0.3775,0.9380,2.7192,4.0610,3.8752,0.092999728,0.026427687,0.013928065,1.452722496,1.870017818,1.93176396,1.791731344,0.464147012,3.847534201,1.163431281,1.275559448,3.503817232,0.585319965,0.061419986,0.093422523,0.051043397,0.322972851,1.511720472
s05,0.958559898,0.848964586,0.832424813,0.331341954,-0.726230545,-0.022137239,-0.103733472,-0.05153792,-0.081096971,-0.482421564,-0.626702872,-1.138945059,-1.299830012,-0.552211871,-0.48666949,0.754477252,0.252223619,1.160241417,0.156241109,-0.42733716,-0.104734312,0.378204697,-0.128946612,0.745551655,-0.570635979,-0.113934196,0.386310002,-0.63448825,0.901034871,0.798418308,0.107964876,0.02020572,-0.42589055,-0.125032843,-0.270053907,0.192780058,0.645174995,0.335607043,0.263061605,-0.283538098,0.256405356,0.092489717,0.077338367,100486.1087,37641.23646,20576.45856,657751.5024,1717482.909,47509.84876,1578.373625,58782.25985,706639.2412,161525.1525,1884440.715,22264.6054,54290.17452,1369747.913,223489.7143,1774516.588,4989.074723,13619.13823,500303.2447,237168.6966,60682.04474,0.054708179,21.78233087,0.513809715,14.70539491,2.25065846,4.428319758,0.190997966,0.02873082,0.054471111,0.035677545,0.180412584,6.110880085,0.044379438,0.002860032,0.053144404,0.044188044,6.529728025,0.009360897,0.042376328,2.467327824,4.957796143,48.41741047,3.849807163,37.53201102,21.02997245,103.0892562,1.404187328,468.9386226,105.0298623,327.929146,3.628650138,154.8568595,32.42644628,160.5339945,24.45148547,0.361945519,58.46391244,15.71319233,1.784791375,38.71969385,0.113122438,0.248855443,0.023582762,0.309235838,0.129432235,0.988790413,0.587502855,0.068334113,0.021233838,0.061411312,0.189236273,0.010948596,0.129336538,2.953436932,0.056837435,0.95197538,28.00436178,1.484651469,111.5195739,495.9039346,0.137334447,2.369553844,6.485429497,1.223068663,0.196745386,3.551054124,7.321487247,5.693877176,0.827274146,0.126540802,0.531798115,1.003405138,1.793562362,0.369067396,0.1473,0.1622,0.0904,0.9094,1.2597,0.9288,3.6021,6.7946,5.2754,1.9708,0.4887,2.5498,15.0935,24.3401,20.7958,6.8667,3.3994,8.3593,12.4622,14.1812,4.7435,1.5398,0.0879,0.6719,0.8753,1.7131,4.5208,5.8484,3.6193,0.0542,0.0712,0.1596,0.6683,1.0268,0.9653,0.038014015,0.027087064,0.012932996,1.160963338,1.1080975,1.066085023,1.59540572,0.423760735,3.746943915,1.521811655,1.230886012,3.677143893,0.724482203,0.07111649,0.172443587,0.062648034,0.218457253,1.255201136
s06,0.627972697,0.545608751,0.509398449,0.713119482,-0.245379537,0.363689853,-0.029437549,-0.064408844,-0.637794481,-0.511712629,-0.331614631,-2.29920128,-0.817424989,-1.967927409,-0.836380952,0.394723444,0.705652229,1.175850269,0.441617777,0.464694453,0.757801026,1.216479389,0.537460697,1.573465864,1.24210503,0.910099187,1.034276568,0.665021611,0.971465229,1.580479955,0.116831464,0.410906063,-1.489854679,-0.636045694,-1.264532229,-0.178479538,1.146029631,0.656191969,0.04366937,0.882608841,0.582461499,0.848154399,0.218007926,157145.4132,39883.29022,36754.02207,616551.3583,1634784.127,34667.42402,3336.809156,88431.13595,828039.2812,200513.5387,2095466.632,21420.01892,67631.15819,1638921.376,331380.1565,1420116.557,8528.511888,26529.56587,389766.4387,204919.7632,54193.42442,0.073806695,23.3509504,0.458835759,20.85197929,2.99706394,2.896393568,0.147373669,0.0642942,0.138103017,0.071710722,0.159018202,4.939558318,0.037736009,0.004883533,0.115823752,0.044130001,4.058691502,0.008415716,0.028488693,4.504070969,8.128934257,66.00449629,5.782233564,57.56130757,31.2787702,134.090898,1.384736906,453.9128691,148.7898894,350.6227974,5.192246932,143.8083607,29.69668246,170.9512699,38.02694586,0.598003409,94.8849931,30.34526418,2.212401591,24.22749777,0.126965506,0.206243371,0.026713055,0.308963045,0.126509398,1.03320039,0.688847639,0.053286096,0.028876915,0.041955535,0.123426959,0.014499979,0.14295685,3.12898935,0.082988247,0.844653995,34.20558396,1.762681601,163.1265028,935.0455576,0.170170215,2.722431324,7.01785293,2.156339531,0.396887815,5.532228526,17.74845233,8.460288748,1.764822201,0.286826583,0.428155722,4.015695747,6.323611033,1.099994382,0.0763,0.1772,0.0596,0.4006,0.9521,0.8579,1.8509,4.2414,5.1380,2.2297,0.3186,2.1002,11.1969,22.7218,26.5224,8.2610,2.0641,5.5569,11.2951,17.2496,7.1611,2.7196,0.0808,0.5212,0.9413,3.0707,7.3724,12.4936,6.8882,0.0768,0.1637,0.4408,1.7271,3.7035,3.6109,0.066112448,0.014832829,0.026931933,1.315266603,1.104407592,1.020248536,1.564834697,0.585945607,4.460452976,1.434012596,1.138833553,3.43409021,0.962383256,0.10237239,0.169108622,0.055246538,0.338858275,1.891981936
s07,1.42177129,1.629992327,1.296210079,0.943622931,0.928179937,0.770591539,-0.32285449,1.529013702,1.552368822,0.720037537,0.549983056,0.471376606,0.238157224,0.971517391,-0.219584866,0.915235173,0.266915965,1.078674523,0.127562571,-0.485746058,0.043660211,1.034647007,0.761840968,1.179381654,0.282280907,0.414261984,0.065307591,-0.589525836,0.492371843,0.50817569,-0.097195329,-0.504606637,0.383598702,-0.492739006,-0.146145618,0.073281527,-0.107961027,-0.139721964,-0.249728371,-0.485296518,-0.404853207,-0.502906134,-0.534958766,115833.183,37145.63182,29092.74694,619406.0104,1743739.246,38662.05124,2082.98242,64559.55232,645442.5525,139832.3193,1859413.552,23458.18609,76823.2084,1351912.85,256043.2109,1682117.078,6191.880127,15462.94607,452998.3815,211951.1804,51266.24854,0.088308244,32.34449954,0.726976946,22.52354953,2.936610695,3.80164908,0.200225077,0.062526881,0.124135626,0.06120316,0.26117419,6.524875483,0.051569412,0.004098187,0.099406108,0.036215138,6.631225556,0.006796885,0.03036536,4.704781282,10.79918616,69.89298067,5.994710071,70.48463886,28.0138352,187.412411,1.596134283,753.1641913,157.8415056,670.7375381,6.697049847,297.970295,60.77761953,234.787589,44.26831465,0.610588471,145.4067254,30.29083267,2.027522018,39.17203763,0.114715812,0.24071891,0.025567428,0.347037784,0.135061896,0.969387278,0.589078186,0.069738264,0.023925034,0.063908543,0.211135748,0.020078666,0.136731033,3.060601469,0.062397629,1.116790533,31.0692554,1.431144916,92.68445283,506.8476913,0.371162199,6.958851467,12.02911925,3.419306388,0.632410051,9.381405356,28.33687401,15.23491604,2.972923968,0.565430361,0.782471618,3.841982058,9.058942127,1.330460198,0.0359,0.0790,0.1651,0.3574,0.6283,0.8993,4.5572,5.6192,4.6582,1.7557,0.5046,11.4516,28.5725,34.1024,25.9947,9.5402,2.0684,8.2055,10.8879,14.0256,9.1313,3.3343,0.1090,0.6420,1.5320,4.2771,7.7469,12.1199,9.5885,0.0705,0.2420,0.6942,1.3366,2.4036,2.8394,0.0428582,0.014406548,0.011512147,1.199551467,1.391706131,1.423254252,1.462443933,0.410561007,3.406146832,1.133105462,1.557133831,3.558878441,0.622393047,0.056968762,0.167602058,0.052770884,0.269224858,1.426268186
s08,1.625216249,2.005268003,1.115236233,1.340450108,0.889722576,0.698168402,-0.39334095,1.37144095,0.226907991,0.465592138,0.236944143,-1.142529105,0.403285761,-0.593892678,-1.240024897,-1.679100959,-2.211875542,0.974678361,-2.009575421,-1.514604916,-2.142370446,0.179778792,-1.362096051,0.06727089,-1.385993116,-1.996381579,0.274867882,-0.118426994,0.353106142,0.689650173,-0.073172846,0.193207818,0.728272947,0.94553253,0.063598294,-0.277820496,0.225335906,0.295044195,-0.675633144,-0.688056763,-0.192435937,0.015704692,-0.074390191,113555.5631,47698.30716,24813.76069,847720.2958,1907644.718,77017.65434,1384.341627,71558.82294,805889.2436,237874.0785,1620080.331,36266.39584,41572.9276,981518.5786,206446.9536,1539143,5547.831018,14796.35341,382344.929,219699.7407,52743.17491,0.079542586,27.74221253,0.852784479,16.89888966,3.105742228,5.207591575,0.269952726,0.058086257,0.12007904,0.054229757,0.151942917,5.269236454,0.067763889,0.003990659,0.11056058,0.033892177,6.184434384,0.008577074,0.036807291,3.974555368,10.9887057,101.8513566,6.082695054,62.21420226,41.03323381,176.8988706,3.14163313,563.2887187,149.215111,591.3167597,5.129819551,259.994937,45.69479424,188.930936,41.55840032,0.934802024,94.35179121,26.77810856,3.160861367,48.34405081,0.196663309,0.437453528,0.034995009,0.557980522,0.239264445,1.323809567,0.898550856,0.11562451,0.02620419,0.070451615,0.254706363,0.025294638,0.192345211,3.192947789,0.097367529,0.934791951,44.54678972,2.258807185,105.4689712,637.5294093,0.156461772,4.642664705,9.147432302,2.303268815,0.489310836,8.532297366,17.70938348,13.01572342,2.511167303,0.57097145,0.69672199,2.97739874,3.746236955,1.079885982,0.1107,0.2443,0.1089,0.5774,0.8584,1.0253,2.4735,6.9452,5.4509,3.3907,0.4075,2.6125,16.3045,43.6279,26.3515,14.7884,2.5405,7.5044,19.2379,14.5714,5.6912,2.7308,0.0520,0.5830,0.9890,2.7759,4.8493,8.2662,7.7805,0.0696,0.1001,0.3220,0.9625,1.6722,2.8710,0.058584579,0.024584191,0.020726191,1.193005615,1.753742718,1.469401764,2.036239154,0.644814052,4.960687822,1.91729588,1.529711178,5.506063326,1.102237007,0.098326205,0.200774416,0.071837654,0.440318919,2.218420543
s09,1.608657323,1.916909828,1.43180842,1.844001249,0.394039624,1.296526427,0.361021797,1.053436806,0.606846496,0.136820759,1.221575717,1.100853928,0.893688345,-0.324083099,-1.404699098,-0.500986706,-0.432198112,1.036618032,-0.496639252,-0.16620091,-0.976386265,0.328011786,-1.253426836,-0.403841942,-1.460557877,-0.904290083,1.730880074,1.117591448,-0.522707501,0.078935266,0.210090804,0.293221541,0.35442573,-0.17509519,-0.110943281,-0.442347467,-0.051953932,-0.04780059,0.061472484,-0.294380755,-0.535041988,-0.304825939,-0.2300428,94656.42116,34218.87679,17031.31125,718082.9694,1734877.827,37516.19212,1166.658083,49928.89857,535493.6257,137358.4703,1750194.145,18919.54868,52867.605,1112587.305,207501.0236,1548351.697,4535.025753,12098.67642,426861.7524,209729.5616,47310.40946,0.060019965,29.78071548,0.559532837,15.9592324,2.573457987,5.019696301,0.188833004,0.062208443,0.074900175,0.040906779,0.246021386,7.024447601,0.042953677,0.00536801,0.071723042,0.036287458,7.685591081,0.006836594,0.038999059,3.263979849,4.375314861,71.28828715,3.57581864,45.46738035,20.07884131,162.5316121,1.831360202,545.6107053,128.1764484,441.0130982,4.379219144,228.4972292,38.89471033,189.4691436,34.15813552,0.460164005,84.63236944,18.4093224,1.809408718,44.78023306,0.128373903,0.295610086,0.020452189,0.320542416,0.14517623,1.313132307,0.63152224,0.084361982,0.043692768,0.066357432,0.232873721,0.021179282,0.167200188,3.534790079,0.060699065,1.068133171,35.42296073,1.316098403,244.0349536,1165.92752,0.074248059,1.314310984,4.500801056,0.997846937,0.135316761,1.176638177,6.882842913,4.356640061,0.691749491,0.071841268,0.419223882,0.908367949,1.489144067,0.20472949,0.1053,0.1951,0.1061,0.6285,1.1032,1.1805,2.9884,8.0423,8.0596,3.5000,0.3335,1.9477,19.9728,43.4748,45.6114,15.3337,2.1619,5.3880,10.7486,20.9328,13.0933,4.7043,0.1139,0.5910,0.8165,2.8506,8.8930,15.8655,10.9969,0.0812,0.1070,0.3118,1.2733,2.2702,2.5957,0.066557088,0.029235167,0.009176913,1.180993429,0.982763334,0.935832487,2.569478242,0.288190167,4.375787665,1.41020362,1.737069126,6.147171493,0.726440917,0.095508747,0.176075899,0.102431089,0.321127825,1.573177358
s10,0.751656703,1.032837922,0.88733234,0.605642653,-0.144319221,0.591256469,-1.010733973,0.88332839,0.691756877,-0.698734726,-0.240567385,0.468098974,0.068088335,0.252829276,-0.936490826,-0.626766093,0.491328076,0.964319311,0.400177798,-0.132046235,2.346966809,2.486642262,2.433593947,3.168954634,2.989008316,2.043882229,0.643657718,0.611719492,0.048592412,-0.300855998,0.642811107,0.427769656,0.526977144,0.758180619,0.852230459,-0.158331703,-0.069963606,0.401157339,0.701660943,0.053711708,-0.064644014,0.181168697,0.505660059,126590.4249,41140.44677,25962.43911,840341.3753,1814979.939,57633.77178,1812.848373,66570.88128,662906.8746,190815.2115,1805151.07,24535.30441,50506.55408,1255540.182,257562.4815,1601915.027,5670.872122,14128.36739,417729.6871,233610.5077,60315.73247,0.074385741,26.39792976,0.76327634,15.66942112,3.01461694,5.145929849,0.236435761,0.039916927,0.081789811,0.051338403,0.184053448,6.868383807,0.046808931,0.003602039,0.08244253,0.035525911,6.399527493,0.012173091,0.040974023,3.743149922,4.441300958,49.40220539,3.143239029,38.09100022,23.89852974,137.6973714,1.899086656,385.903542,105.8896191,364.2237692,3.608264647,190.6733125,29.62853642,152.3422811,52.71634039,0.772672793,130.6237848,35.14089759,2.507524304,72.71341057,0.181225001,0.287780757,0.022660542,0.35529647,0.179923959,1.159535845,0.732115072,0.083350182,0.021702343,0.066605863,0.188796097,0.026295547,0.129009714,2.721359501,0.06873544,0.938297218,72.38686909,2.568650952,130.3411761,910.7603637,0.135929105,2.464627132,9.01215148,1.532262727,0.256427126,4.552588295,15.50094201,8.519592891,1.999960126,0.323723796,0.545470857,2.079557802,3.052234417,0.799814588,0.0881,0.1138,0.0926,0.3462,0.6152,0.9067,3.6974,5.5345,5.2270,2.8189,0.4570,4.5541,28.6115,36.2847,31.4818,13.5869,2.4555,8.5389,11.5463,16.7924,9.6297,3.5722,0.1053,0.7512,1.3905,3.4118,6.6608,11.8296,8.7463,0.0680,0.1927,0.3467,1.1547,2.4239,2.8380,0.118497336,0.017933241,0.01555457,1.271269159,1.486479231,1.224530884,1.923528337,0.540409445,5.140475809,2.065148742,1.901296338,5.750787609,0.94677444,0.122840834,0.210818106,0.059727758,0.452532837,2.353948482
